Agency Name,Topic,examples
Commodity Futures Trading Commission,NULL,Anomaly Detection for Data Quality; Stress Testing Scenarios with Deep Learning; MPD Entity Risk Modeling
Department of Agriculture,Administrative Functions,Video Surveillance System; Automated PDF Document Processing and Information Extraction; Predictive Cropland Data Layer
Department of Agriculture,Cybersecurity,Infosec Chatbot
Department of Agriculture,Emergency Management,US Poultry and Operations Dataset; Equine Operations and Populations Dataset for the U.S.; Incident Invoice Document Understanding
Department of Agriculture,Energy and the Environment,Ecosystem Management Decision Support System (EMDS); Rangeland Analysis Platform; GIS Invasive Tree Extraction for Field Level Users
Department of Agriculture,Government Benefits Processing,Nutrition Education & Local Access Dashboard; ROE Document Recognition - RoeDR
Department of Agriculture,Health and Medical,Image generator for presentation support
Department of Agriculture,Human Resources,NRE FS Customer Relationship Manager New Hire Experience (NRE FS CRM NHE) CSAM ID 2639
Department of Agriculture,Information Technology,Aquisition Approval Request Compliance Tool; DS Hub Geo-metadata generation; ESRI Support Chat Bot
Department of Agriculture,International Affairs,ARGUS AI Supply Chain Interference
Department of Agriculture,NULL,ARS Project Mapping; Retailer Receipt Analysis; Cross-Laminated Timber (CLT) Knowledge Database
Department of Agriculture,Other,Predictive Modeling of Invasive Pest Species; List Frame Deadwood Identification; Survey Outlier Detection Model
Department of Agriculture,Procurement and Financial Management,Repair Spend; ProcureSight; Yearly Incident Procurement Classification Report
Department of Agriculture,Science,NAL Automated Indexing; LCAT - Land Change Analysis Technique; Raster Tools
Department of Agriculture,Service Delivery,Democratizing Data; Operational Water Supply Forecasting for Western US Rivers; Approximate String Matching (aka fuzzy matching) to Standardize Data
Department of Agriculture,Transportation,Predictive flood modeling; NETS automated waterway design
Department of Commerce,NULL,GitHub Copilot for Code Modernization; Meeting Transcription Summarization; Real Time Classification for the Economic Census
Department of Education,NULL,Aidan Chat-bot; IPAC RPA Bot; CAISY - Artificial Intelligence System Skillsoft Percipio Assessment for the Department Use
Department of Energy,Administrative Functions,PARSGPT; CAISY; DOE Technical Standards
Department of Energy,Cybersecurity,Network Security and Analysis; Microsoft Copilot for Security; Machine Learning components within Splunk Enterprise Security
Department of Energy,Emergency Management,First Alert DataMinr AI; Boston Dynamics Spot Robotics
Department of Energy,Energy and the Environment,"Natural Language Processing; DOE AI Data Infrastructure System; Creation of polymer datasets and inverse design of polymers with targeted backbones having 
High CO2 permeability and high CO2/N2 selectivity."
Department of Energy,Health and Medical,Elucidating Genetic and Environmental Risk Factors for Antipsychotic-induced Metabolic Adverse Effects Using AI
Department of Energy,Human Resources,Text To Speech Audio Generation; AI-Enhanced Hub; HR Job Postings
Department of Energy,Information Technology,Use of developed ML techniques to parse opensource text-based information.; ServiceNow Predictive Intelligence; Microsoft 365 Copilot (Productivity Suite)
Department of Energy,International Affairs,Neptune
Department of Energy,NULL,"AI for system design optimization (e.g., detector, accelerator); FIMS Invoice BOT; SWPA Generative AI"
Department of Energy,Other,AI for Operations Center; NLCOO AI for Lessons Learned tool; Scopus AI
Department of Energy,Procurement and Financial Management,Poseidon; FindMATID; Invoice Scanning System
Department of Energy,Science,"To help automate data discovery and preparations to support a range of CS models, tools, and products; ORNL: Foundational AI Research; ORNL: AI for Materials Science"
Department of Energy,Transportation,AI used for predictive modeling and real time control of traffic systems; Managing curb allocation in cities
Department of Health and Human Services,Administrative Functions,Head Start Correspondence Categorizer; Certification and Testing/Program Administration – AI-enabled Internal Processes; Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models
Department of Health and Human Services,Cybersecurity,AIP Cyber Incident Ingestion
Department of Health and Human Services,Emergency Management,Senior Leadership Briefing Generation; NewsScape; Short-term Forecasting of Severe Outcomes for Seasonal and Epidemic Pathogens
Department of Health and Human Services,Government Benefits Processing,Structuring and Validating Completeness of Case Data Information; Structuring Notice of Concern Data; Unaccompanied Child Sponsor Identity Verification
Department of Health and Human Services,Health and Medical,emPOWER AI; The NEF DSI/AI project addresses local validation of AI-based clinical decision support (CDS)/decision support interventions (DSI) in provider settings.; Detecting Stimulant and Opioid Misuse and Illicit Use
Department of Health and Human Services,Human Resources,Ask HR Policy; Collective Bargaining Compass; Document Review for Alignment with Executive Orders: Position Descriptions
Department of Health and Human Services,Information Technology,Discover User Assistant; Builder Buddy; AHRQ Search
Department of Health and Human Services,Law Enforcement,AI-Assisted Systematic Review and Validation of Analytical Worksheets; AI-Powered Video Analytics for Law Enforcement; ChatGPT
Department of Health and Human Services,NULL,Design Your Facility; Grant Spend Health Analysis; Unaccompanied Children Process Model Digital Twins
Department of Health and Human Services,Other,Qualitative Analysis; Document Review for Alignment with Executive Orders: Grant Materials; Grant management support: structuring information in applications
Department of Health and Human Services,Procurement and Financial Management,Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items); Acquisition support: co-drafting acquisition packages; Acquisition support: assisting reviews and co-drafting technical evaluation documents
Department of Health and Human Services,Science,Portfolio Analytics; Assessing Large Language Models for Synthetic Survey Data Generation; ATSDR Toxicological Assistant chatbot
Department of Health and Human Services,Service Delivery,"Unaccompanied Children Program Policy & Procedure Research Tool; Child Welfare Information Automated Inquiry System

(Note: previously named ""Child Welfare Information Gateway OneReach Application""); ASPR TRACIE - Web search results improvement (prototyping stage)"
Department of Homeland Security,Administrative Functions,Advance RPM Maintenance Operating Reporter (ARMOR); AI to generate testable synthetic data; API Security Vulnerability Technology
Department of Homeland Security,Cybersecurity,Machine Learning Analysis Applied to Cyber Threat Hunt Data; Cyber Threat Detection; Malware Reverse Engineering
Department of Homeland Security,Emergency Management,"Grants Manager Artificial Intelligence ChatBot; Semantic Search, Summarization, and Data/Spatial Visualization for NCR Watch COP/Dashboard; Technical Resource for Mitigation Programs"
Department of Homeland Security,Government Benefits Processing,Extended Automated Name Harvesting (eANH); Individual Assistance Document Translation; PDF Intake (PDFI) for myUSCIS
Department of Homeland Security,Health and Medical,MiX Phenotyping; MiX Indicators; One Health Threat Detection and Risk Assessment Platform (OH-TREADS) / Planner
Department of Homeland Security,Human Resources,AI Resume & ATS App; AI-Assisted Resume Screening Tool; Customs Broker License Exam - Proctor Support
Department of Homeland Security,Information Technology,Source Code Development Tool; Open Metadata; Speech Assist Virtual Interview Assistant
Department of Homeland Security,International Affairs,The Advanced Trade Analytics Platform (ATAP)
Department of Homeland Security,Law Enforcement,Smartphone Information Forensics Triage; Advanced Analytics for X-ray Images (AAXI); Real-Time Language Translation Services
Department of Homeland Security,NULL,Video Analysis Tool (VAT); Mobile Language Translation Services; ICE Mobile Check-in Application
Department of Homeland Security,Other,FLIR 280 HD
Department of Homeland Security,Procurement and Financial Management,Border Infrastructure Center of Excellence AI (BICE AI); Spend Plan Analysis GPT; Purchase Card Worksheet Analysis
Department of Homeland Security,Service Delivery,USCIS Document Translation Service; USCIS Speech Translation Service; Administrative & Productivity Support for IRC Resource Library
Department of Homeland Security,Transportation,Automated Target Recognition (ATR) Developments for Standard Screening; Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection; Walk-Through Metal Detector (WTMD) Alternative Automated Target Recognition (ATR) Developments
Department of Housing and Urban Development,Administrative Functions,Microsoft Copilot; Amazon Textract for automatic signature identification
Department of Housing and Urban Development,Human Resources,CAISY - Workforce Training Conversation Simulator
Department of Housing and Urban Development,NULL,Quantitative Text Analysis; Translation of Digital Media
Department of Housing and Urban Development,Other,"Counterparty Risk Anomaly Detection; Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use."
Department of Housing and Urban Development,Procurement and Financial Management,Subledger Data Quality Machine Learning
Department of Housing and Urban Development,Service Delivery,Voice of the Customer; Email Assistant; FHA Resource Center Chatbot
Department of Justice,Administrative Functions,Adobe Suite Applications; Bloomberg Government; Federal Docket Management System
Department of Justice,Cybersecurity,Cybersecurity Defense Tools; Exiger Supply Chain Risk Management - DDIQ Research Engine; Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics
Department of Justice,Energy and the Environment,Veritone
Department of Justice,Government Benefits Processing,Call Center Management and Service Delivery Support
Department of Justice,Health and Medical,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator; Automated Medication Dispensing Cabinet; Community Treatment Pipeline Screening
Department of Justice,Human Resources,Percipio Skillsoft; Automated Staffing Tool; Pathfinder
Department of Justice,Information Technology,Alation Data Catalog; Azure Data Factory; Azure Zen 2 Storage
Department of Justice,Law Enforcement,Airlines Travel Intelligence Program; Unmanned Aerial Systems (UAS); Axon FUSUS (via HIDTA partners)
Department of Justice,NULL,Coinbase; LexisNexis Babel Street; Body Worn Camera (BWC) Audio-Video Software AI Tools
Department of Justice,Procurement and Financial Management,Dun & Bradstreet Business Establishments Data; National Insurance Crime Bureau ISO ClaimSearch; Southwest Border Transaction Record Analysis Center (SWBTRAC)
Department of Justice,Science,Image processing
Department of Justice,Service Delivery,ServiceNow; National Instant Criminal Background Check System; Aztec Learning Software
Department of Justice,Transportation,JPATS Mobile App (Biometrics)
Department of Labor,Administrative Functions,Electronic Records Management; Generative AI AssistantI  ( AI Center); Note Taking Bot
Department of Labor,Cybersecurity,PII Redaction
Department of Labor,Government Benefits Processing,Automatic Document Processing
Department of Labor,Human Resources,Hololens; Worker PLUS Microsimulation Program
Department of Labor,NULL,Determine Occupation Codes from Text (NIOCCS); Claims Document Processing; Website Chatbot Assistant
Department of Labor,Other,Language Translation; Audio Transcription; AI Headset
Department of Labor,Other - Applied Mathematical Sciences,"OEWS Occupation Autocoder; Scanner Data Product Classification; Expenditure Classification 
Autocoder"
Department of Labor,Service Delivery,Text to Speech Conversion; Call Recording Analysis; Workforce Recruitment Program (WRP) Website Chatbot Assistant
Department of State,Administrative Functions,AI-Augmented Declassification Review; BudgetChat AI Tool; Property and Procurement Analytics
Department of State,Cybersecurity,RegScale
Department of State,Emergency Management,Live Consular AI Language Augmentation (LCALA) - OCS/ACS Pilot
Department of State,Health and Medical,Electronic Health Record AI Enhancements
Department of State,Human Resources,Rosie Chat Bot; Database for Arrivals
Department of State,Information Technology,Data.State Analytics and AI Funhouse; AI Research Engine (AIRE); PFCS Proving Ground
Department of State,International Affairs,FA.gov PII Picker; Integrated Country Strategy (ICS) Turbo; FA.gov RedactAid
Department of State,Law Enforcement,Diplomatic Security - Legal Instruction Unit
Department of State,NULL,FOIA Web ML Document Indexer; Travel.State.Gov (TSG) Enhanced Search and Chatbot; Travel.state.gov (TSG) Content Refinement with AI Text Editor
Department of State,Other,AI Input in Translation; Automatic Detection of Authentic Material; Creating Persistent Virtual Reality Personas for Dynamic Training
Department of State,Procurement and Financial Management,Within Grade Increase Data Extraction Automation; DS-5528 Promissory Note Automation; StateInsight
Department of State,Service Delivery,Evaluating Customer Feedback and Sentiments with AI; Consular Affairs FaceVACS; Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis
Department of Transportation,Administrative Functions,USDOT Compliance Plan for OMB Memorandum M-24-10 (September 2024); Advanced Research and Testing (ART) Network; AI Operations Laboratory (OPSLAB)
Department of Transportation,Transportation,Certified Professional Controller (CPC) On-Board Success Evaluator; Automated Delay detection using voice processing; Technical Operations Predictive Maintenance
Department of Veterans Affairs,Administrative Functions,VAHC CRM- Veteran Self-Service; Compliance Made Easy; AI Personal Assistance POC
Department of Veterans Affairs,Cybersecurity,Cyber Authorization Memo Generation; Forescout: AI Behavioral Anomaly Detection w/ Automated Enforcement; CSOC AI Analyst Accelerator (Andesite AI)
Department of Veterans Affairs,Government Benefits Processing,Service Period Validator (SPV) POC; Claims Processing Automation Quality Auditor POC; Exam Verification Agent
Department of Veterans Affairs,Health and Medical,Clinical AI Agent; VA AI Assist; Summarization of Clinical Data
Department of Veterans Affairs,Human Resources,Employee Transactions for HR Decision-Making; EEO Consultation and Guidance; Nursing Career Path Tool
Department of Veterans Affairs,Information Technology,VA VoiceBot for Call Center Modernization; E2 HelpBot; ESD-Predictive Intelligence
Department of Veterans Affairs,Law Enforcement,Verkada Camera - OSLE; Xtract WDS - OSLE; Evolv WDS - OSLE
Department of Veterans Affairs,NULL,XtractOne; Appointment Comments Categorization; SafePointe WDS - OSSO
Department of Veterans Affairs,Other,Lexis+; Billing Claims Prediction; Augmented Reality and Virtual Museum
Department of Veterans Affairs,Procurement and Financial Management,Claims Adjudication and Financial Decision-Making; Artificial Intelligence Assisted Procurement Tools (AIAPT); SAC AI tools to automate application processing and data reporting
Department of Veterans Affairs,Science,PestScore VA: AI-Driven Pest Risk Forecasting; Automated AI review for Competitive Procedures
Department of Veterans Affairs,Service Delivery,Natural Language Online Workflow (NOW); Modeling to Learn (MTL); Federal EHR End User Peer Support Chatbot
Department of the Interior,Administrative Functions,Everlaw AI Assistant for Responsive Review; CHS Q Business AI Assistant (theKraken); RUDD AI Development of a Small Language Model for Land Use Planning Decisions Consolidation
Department of the Interior,Emergency Management,Use of AI to Enhance Flash Flood Forecast Tool [2024 Inv#WO0000000110323]; Wildfire Risk Assessment & Predictive Modeling; Machine learning in remote sensing-based wildfire and natural resource risk assessments
Department of the Interior,Energy and the Environment,ROV Smart Touch Subsea Pipeline Inspections; Level 1 Survey Report Corrosion Level Classification; Well Activity Report Classification
Department of the Interior,Information Technology,"User guides/training provided in chat form; Integration of AI, specifically CoPilot for GitHub,  for BTFA Software Development Life Cycle Process for DME and O&M applications."
Department of the Interior,Law Enforcement,
Department of the Interior,NULL,Data Extraction Using MS Power Automate AI Functionality [2024 INV#WO0000000110500]; Liable Party Research [2024 INV#WO0000000110496]; I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency [2024 INV# WO0000000111250]
Department of the Interior,Other,Telemetry Analysis Learning Algorithm (TALA); Aveva Predictive Analytics (APA); FOIA Record Pre-Review Tool
Department of the Interior,Procurement and Financial Management,Office of Grants Management (PGM) Grants Utility Tool; FBMS UPC Chatbot
Department of the Interior,Science,Bird Nest Detection [2024 Inv#WO0000000110506]; Remote Sensing Coastal Change - Shoreline Change; Development of a computer vision model to monitor for early detection of habitat loss across the landscape. [2024 INV#DOI-65]
Department of the Interior,Service Delivery,General Land Office Records  Modernization; Assessment Inventory and Monitoring (AIM) Chatbot; AI-Powered Wildlife Monitoring on National Wildlife Refuges
Department of the Interior,Transportation,Improving recreation opportunities and access to public lands through machine learning and transportation planning
Department of the Treasury,Administrative Functions,Narrative Summary and Thematic Analysis; Survey Analysis; eDiscovery Software
